source_col,input_cols,target_col
Original Canadian air date,No. overall<|>No. in series<|>Title<|>Director<|>Writer<|>Original air date<|>Production code,Original air date
Original Canadian air date,Story No.<|>Episode<|>Title<|>Directed by<|>Written by<|>UK viewers (million)<|>AI (%)<|>Original air date<|>Production code,Original air date
Season episode,Story No.<|>Episode<|>Title<|>Directed by<|>Written by<|>UK viewers (million)<|>AI (%)<|>Original air date<|>Production code,Episode
Start Time,Track<|>Song<|>Author<|>Worship Leader<|>Lead Supporting Vocal<|>Time,Time
English party name,English Name<|>Simplified Chinese<|>Traditional Chinese<|>Pinyin<|>Area<|>Population<|>Density,English Name
Women's race,Name<|>Nation<|>Seasons<|>Championship titles<|>Races (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Races (Starts)
Swedish championship titles,Name<|>Nation<|>Seasons<|>Championship titles<|>Races (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Championship titles
Last season,Season<|>Champion<|>Count<|>Runner-up<|>Third Place,Season
Year ended,Year<|>Denomination<|>Alloy<|>Reverse<|>Diameter<|>Weight<|>Obverse<|>Mintage<|>Series,Year
Height (m ft),Mountain<|>Height (m)<|>Prominence (m)<|>Range<|>Country,Height (m)
Date of designation,Team<|>Outgoing manager<|>Manner of departure<|>Replaced by<|>Date of appointment,Date of appointment
Year ended,Year<|>Champion<|>Runner-up<|>Third place<|>Fourth place<|>Jack Tompkins Trophy (MVP),Year
4th place,Year<|>Champion<|>Runner-up<|>Third place<|>Fourth place<|>Jack Tompkins Trophy (MVP),Fourth place
Original Canadian air date,Series #<|>Title<|>Story by<|>Teleplay by<|>Directed by<|>Original air date,Original air date
Year ended,Rank<|>Country<|>Year<|>Males<|>Females<|>Total,Year
High school,School<|>Base<|>Bask<|>Golf<|>Soccer<|>Swimming<|>Tennis<|>Indoor track<|>Outdoor track<|>Total,School
Time (greatest),Position<|>Sail Number<|>Yacht<|>State/Country<|>Yacht Type<|>LOA (Metres)<|>Skipper<|>Corrected Time d:hh:mm:ss,Corrected Time d:hh:mm:ss
Year ended,Year<|>Bötzow<|>Schwante<|>Vehlefanz<|>Neu-Vehlefanz<|>Marwitz<|>Bärenklau<|>Eichstädt,Year
Change (SW Eng),Year<|>Bötzow<|>Schwante<|>Vehlefanz<|>Neu-Vehlefanz<|>Marwitz<|>Bärenklau<|>Eichstädt,Eichstädt
Height (m ft),Nation<|>Birth date<|>Height (m)<|>Weight (kg)<|>World Rank,Height (m)
Adult (15+) Literacy Rate Total,Region<|>HDI<|>Life expectancy at birth (2001-2002)<|>Adult literacy rate (2009)<|>Combined gross enrollment ratio (2009)<|>GDP (PPP) per capita (2008),Adult literacy rate (2009)
GDP per capita in PPP US$ (2012),Region<|>HDI<|>Life expectancy at birth (2001-2002)<|>Adult literacy rate (2009)<|>Combined gross enrollment ratio (2009)<|>GDP (PPP) per capita (2008),GDP (PPP) per capita (2008)
1991,Tournament<|>1998<|>2000<|>2001<|>2002<|>2003<|>2004<|>2005<|>2006<|>2007<|>2008<|>2009<|>2010<|>2011<|>2012<|>2013,1998
Week 4 Sept 21,Team<|>Week 1<|>Week 2<|>Week 3<|>Week 4<|>Week 5<|>Week 6<|>Week 7<|>Week 8 Final,Week 6
Day 5,Team<|>Week 1<|>Week 2<|>Week 3<|>Week 4<|>Week 5<|>Week 6<|>Week 7<|>Week 8 Final,Week 5
Week 1 Sept 7,Team<|>Week 1<|>Week 2<|>Week 3<|>Week 4<|>Week 5<|>Week 6<|>Week 7<|>Week 8 Final,Week 7
Year ended,Year<|>Team<|>Attempts<|>Completions<|>Completion %<|>Yards,Year
Rushing yards,Year<|>Team<|>Attempts<|>Completions<|>Completion %<|>Yards,Yards
Week 5 Sept 22,Week 2<|>Week 4<|>Week 6<|>Week 11<|>Week 12<|>Week 13<|>Week 15,Week 13
Week 1 Sept 7,Week 2<|>Week 4<|>Week 6<|>Week 11<|>Week 12<|>Week 13<|>Week 15,Week 6
Week 10 Nov 9,Week 2<|>Week 4<|>Week 6<|>Week 11<|>Week 12<|>Week 13<|>Week 15,Week 11
Year ended,Year<|>Film<|>Awards<|>Category<|>Result,Year
Year ended,Name<|>Number<|>Position<|>Weight*<|>Year<|>Hometown,Year
Year ended,Year<|>Miss Universe Philippines<|>Binibining Pilipinas-World<|>Binibining Pilipinas-International<|>Binibining Pilipinas-Tourism<|>First runner-up<|>Second runner-up,Year
"Nominal GDP World Bank, 2009 (million USD)",Country<|>Population<|>GDP 2011 (In Millions USD)<|>GDP 2012 (In Millions USD)<|>per capita,GDP 2011 (In Millions USD)
Last season,Season<|>Team<|>Conference<|>Head Coach<|>Record,Season
Number of episode,Episode number Production number<|>Title<|>Original airing<|>Rating<|>Share<|>Rating/share (18–49)<|>Total viewers (in millions),Episode number Production number
Year ended,Year<|>Senior PGA Championship<|>The Tradition<|>Senior Players Championship<|>U.S. Senior Open<|>Senior British Open,Year
Rushing yards,Player<|>Tackles<|>Solo<|>Assisted<|>Sack<|>Yards<|>TD's,Yards
Population 2007 census(hab),Area<|>State/ Province<|>CSA/CMA 2009 population<|>Projected 2025 population<|>Projected increase 2009-2025,CSA/CMA 2009 population
Post-1896 Provinces,Area<|>State/ Province<|>CSA/CMA 2009 population<|>Projected 2025 population<|>Projected increase 2009-2025,State/ Province
Last season,Season<|>Team 1<|>Score<|>Team 2<|>Venue,Season
Date of Entry,Team<|>Outgoing manager<|>Manner of departure<|>Date of departure<|>Incoming manager<|>Date hired<|>Position in table,Date of departure
Song 2 title,Song title<|>Artist<|>Decade<|>Genre<|>Exportable?,Song title
4th place,Series<|>Year<|>Winner<|>Runner-up<|>Third place<|>Fourth place<|>Fifth place<|>Sixth place<|>Host,Fourth place
Year ended,Series<|>Year<|>Winner<|>Runner-up<|>Third place<|>Fourth place<|>Fifth place<|>Sixth place<|>Host,Year
Year ended,Rank<|>Player<|>Year<|>Opponent<|>Passing yards<|>Rushing yards<|>Total offense,Year
Completed?,"Character<|>Australia & New Zealand (Sydney - first run, Melbourne, Auckland)<|>London<|>Toronto / Broadway<|>Brazil<|>UK Tour<|>US Tour<|>Italy (Milan, Rome, Trieste)","Italy (Milan, Rome, Trieste)"
Date of designation,Incumbent<|>Reason for Vacancy<|>Appointed Successor<|>Date of Appointment<|>Elected Successor<|>Date of Election,Date of Appointment
Moving to,From<|>To<|>Goal<|>Round 1<|>Round 2<|>Round 3<|>Round 4<|>Round 5<|>Round 6+,To
Ceased to be Duchess,Name<|>Father<|>Birth<|>Marriage<|>Became Countess<|>Ceased to be Countess<|>Death<|>Spouse,Ceased to be Countess
Time to ft (m) at 25° (seconds),Date<|>Time (UTC)<|>Epicenter<|>Magnitude<|>Depth<|>Intensity,Time (UTC)
Height (m ft),Island<|>Gaelic name<|>Area ( ha )<|>Population<|>Highest point<|>Height (m),Height (m)
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Opponent<|>Rank<|>Round,Year
Name (English),Codename (main article)<|>Brand name (list)<|>Cores<|>L3 Cache<|>Socket<|>TDP<|>I/O Bus,Brand name (list)
Completed?,Codename (main article)<|>Brand name (list)<|>Cores<|>L3 Cache<|>Socket<|>TDP<|>I/O Bus,Codename (main article)
Name (English),Codename (main article)<|>Brand name (list)<|>Cores<|>L3 Cache<|>Socket<|>TDP<|>Process<|>I/O Bus<|>Release Date,Brand name (list)
Completed?,Codename (main article)<|>Brand name (list)<|>Cores<|>L3 Cache<|>Socket<|>TDP<|>Process<|>I/O Bus<|>Release Date,Codename (main article)
Year ended,Year<|>Song title<|>Artist<|>Master recording<|>NA/UK/AUS/JPN/NL tier<|>European tier,Year
Song 2 title,Year<|>Song title<|>Artist<|>Master recording<|>NA/UK/AUS/JPN/NL tier<|>European tier,Song title
Original Canadian air date,No. in season<|>No. disc<|>Title<|>Directed by<|>Written by<|>Original air date,Original air date
# of discs,Complete Series<|>Region 1<|>Region 2<|>Region 4<|>DVD Extras and Bonus Features<|>Number Of Discs,Number Of Discs
Region 1 (CAN),Complete Series<|>Region 1<|>Region 2<|>Region 4<|>DVD Extras and Bonus Features<|>Number Of Discs,Region 1
"Nominal GDP World Bank, 2009 (million USD)",Rank<|>Metropolitan area<|>Country<|>GDP (PPP) (2008) Billions of US$<|>Metropolitan population (2006) Millions<|>GDP (PPP) US$ per capita,GDP (PPP) (2008) Billions of US$
GDP per capita in PPP US$ (2012),Rank<|>Metropolitan area<|>Country<|>GDP (PPP) (2008) Billions of US$<|>Metropolitan population (2006) Millions<|>GDP (PPP) US$ per capita,GDP (PPP) US$ per capita
Academy Award,Year<|>Award<|>Work<|>Category<|>Result,Award
Year ended,Year<|>Award<|>Work<|>Category<|>Result,Year
1976,1965<|>1966<|>1967<|>1968<|>1969<|>1970<|>1971<|>1972,1972
Total Apps (Sub),Name<|>Position<|>Club career<|>League apps<|>League goals<|>Total apps<|>Total goals,Total apps
Year ended,Year<|>Alabama<|>Arkansas<|>Auburn<|>Ole Miss<|>Mississippi St.,Year
Year ended,Year<|>Candidate<|>Hare quota<|>Mandate<|>List Votes<|>List Pct,Year
Year ended,Year<|>Florida<|>Georgia<|>Kentucky<|>South Carolina<|>Tennessee<|>Vanderbilt,Year
1976,Tournament<|>1984<|>1985<|>1986<|>1987<|>1988<|>1989<|>1990<|>1991<|>1992<|>1993<|>1994<|>1995<|>1996<|>Career SR,1985
Last season,Season<|>Series<|>Races<|>Wins<|>Podiums<|>Points<|>Final Placing,Season
FA Cup goals,Rank<|>No.<|>Pos<|>Player<|>Premier League<|>FA Cup<|>League Cup<|>Champions League<|>Club World Cup<|>Total,FA Cup
Singapore League Cup,Rank<|>No.<|>Pos<|>Player<|>Premier League<|>FA Cup<|>League Cup<|>Champions League<|>Club World Cup<|>Total,League Cup
Length ( ft ),Call sign<|>Frequency MHz<|>City of license<|>ERP W<|>Height m ( ft )<|>Class<|>FCC info,Height m ( ft )
Last season,Season<|>Champion<|>Second<|>Third<|>Team Champion<|>National Trophy/Rookie,Season
Age as of 1 February 2014,University<|>Location<|>Established<|>Endowment as of 2008<|>Campus Area (acres)<|>Kiplingers Top 100 Values<|>Enrollment as of 2008,Enrollment as of 2008
Total Apps (Sub),Name<|>Nation<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,Total Apps
Cup Apps,Name<|>Nation<|>Position<|>League Apps<|>League Goals<|>FA Cup Apps<|>FA Cup Goals<|>League Cup Apps<|>League Cup Goals<|>FLT Apps<|>FLT Goals<|>Total Apps<|>Total Goals,FA Cup Apps
Fastest laps,Rnd<|>Race Name<|>Circuit<|>City/Location<|>Date<|>Pole position<|>Fastest lap<|>Winning driver<|>Winning team<|>Report,Fastest lap
Start Time,Eliminated<|>Tag Team<|>Entered<|>Eliminated by<|>Time,Time
Year ended,Name<|>Number<|>Position<|>Year<|>Hometown,Year
Total Apps (Sub),Name<|>Bodyweight<|>Snatch<|>Clean & Jerk<|>Total (kg),Total (kg)
Crime,State<|>City<|>Population<|>Violent Crime<|>Murder and Non-Negligent Manslaughter<|>Forcible Rape<|>Robbery<|>Aggravated Assault<|>Property Crime<|>Burglary<|>Larceny-Theft<|>Motor Vehicle Theft,Violent Crime
Years of Kindergarten,School<|>Years of Participation<|>OCC Championships<|>Last OCC Championship<|>Last Outright OCC Championship,Years of Participation
High school,School<|>Years of Participation<|>OCC Championships<|>Last OCC Championship<|>Last Outright OCC Championship,School
year,Venue<|>Hosted<|>Average<|>Highest<|>Lowest<|>Total<|>Last Year<|>Up/Down,Last Year
Height (m ft),Mountain<|>Height (m)<|>Height (ft)<|>Range<|>Prominence (m)<|>Parent mountain<|>First ascent,Height (m)
Year ended,Year<|>Aircraft kilometers<|>Departures<|>Flying hours<|>Passengers<|>Seat factor<|>Employees<|>Profit/loss,Year
Year ended,Year<|>Gross Domestic Product<|>US Dollar Exchange<|>Inflation Index (2000=100)<|>Per Capita Income (as % of USA),Year
GDP (PPP) per capita 2010; African World rank 2010;,Year<|>Gross Domestic Product<|>US Dollar Exchange<|>Inflation Index (2000=100)<|>Per Capita Income (as % of USA),Per Capita Income (as % of USA)
"Area (1930) in 1,000skm 2",Barangay<|>Population (2010)<|>Economic Class<|>Land Area (In sqm.)<|>Punong Barangay (Term 2010-2013),Land Area (In sqm.)
Population (2000 census),Barangay<|>Population (2010)<|>Economic Class<|>Land Area (In sqm.)<|>Punong Barangay (Term 2010-2013),Population (2010)
Leader's Team,"Institution<|>Location<|>Founded<|>Affiliation<|>Enrollment<|>Nickname<|>NCAA Team Championships (through July 4, 2012)","NCAA Team Championships (through July 4, 2012)"
Women's race,Country<|>Seasons<|>Championship Titles<|>Race entries (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Race entries (Starts)
Swedish championship titles,Country<|>Seasons<|>Championship Titles<|>Race entries (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Championship Titles
Women's race,Country<|>Total Drivers<|>Championship Titles<|>Race entries (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Race entries (Starts)
Swedish championship titles,Country<|>Total Drivers<|>Championship Titles<|>Race entries (Starts)<|>Poles<|>Wins<|>Podiums<|>Fastest Laps<|>Points,Championship Titles
Year ended,Year<|>Dates<|>Champion<|>Country<|>Score<|>Tournament location<|>Purse ($)<|>Winner's share ($),Year
Change (SW Eng),Year<|>Dates<|>Champion<|>Country<|>Score<|>Tournament location<|>Purse ($)<|>Winner's share ($),Winner's share ($)
1976,Tournament<|>1987<|>1988<|>1989<|>1990<|>1991<|>1992<|>1993<|>1994<|>Career SR,1987
Last season,Season<|>President<|>General Sec<|>Treasurer<|>Fixtures Sec<|>Social Sec Bradford<|>Social Sec Leeds<|>Media Officer,Season
Last season,Season<|>Coach<|>Captain<|>Alternate (1)<|>Alternate (2),Season
Start Time,Date<|>Time<|>Score<|>Set 1<|>Set 2<|>Set 3<|>Set 4<|>Total<|>Report,Time
Year ended,Outcome<|>Year<|>Tournament<|>Surface<|>Opponent in the final<|>Score,Year
Opponent in the Final,Outcome<|>Year<|>Tournament<|>Surface<|>Partnering<|>Opponents in the final<|>Score,Opponents in the final
Year ended,Outcome<|>Year<|>Tournament<|>Surface<|>Partnering<|>Opponents in the final<|>Score,Year
Date of destruction,Name<|>Date of Birth<|>Date of Death<|>Age at Time of Disaster<|>Age at Time of Death,Date of Death
2010 population,Commune<|>Area (km 2 )<|>2002 population<|>Pop. density (km 2 )<|>Municipality website,2002 population
Cross-section area (cm 2 ),Commune<|>Area (km 2 )<|>2002 population<|>Pop. density (km 2 )<|>Municipality website,Area (km 2 )
Density (per km 2 land),Commune<|>Area (km 2 )<|>2002 population<|>Pop. density (km 2 )<|>Municipality website,Pop. density (km 2 )
Mission's Country,Pick<|>Player<|>Country of Origin*<|>PBA team<|>College,Country of Origin*
Opponent in the Final,Outcome<|>Date<|>Location<|>Surface<|>Opponent in final,Opponent in final
Year ended,Year<|>Lijsttrekker<|>Fractievoorzitter<|>Cabinet<|>Chair,Year
Fastest laps,Race<|>Date<|>Location<|>Pole Position<|>Fastest Lap<|>Race Winner<|>Constructor<|>Report,Fastest Lap
sequence length (aa),No. in series<|>No. Disc<|>Title<|>Directed by<|>Written by<|>Original air date<|>Length (minutes),Length (minutes)
Original Canadian air date,No. in series<|>No. Disc<|>Title<|>Directed by<|>Written by<|>Original air date<|>Length (minutes),Original air date
Year ended,Year<|>Series title<|>Chinese title<|>Role<|>Channel,Year
1960,Country<|>1951<|>1952<|>1953<|>1954<|>1955<|>1956<|>1957<|>1958<|>1959,1958
1976,Country<|>1960<|>1961<|>1962<|>1963<|>1964<|>1965<|>1966<|>1967<|>1968<|>1969,1968
Season episode,Episode<|>Song choice<|>Original artist<|>Order #<|>Result,Episode
Start Time,Place<|>Rider<|>Country<|>Machine<|>Speed<|>Time<|>Points,Time
Opponent in the Final,Outcome<|>Date<|>Surface<|>Partner<|>Opponents in the final<|>Score in the final,Opponents in the final
1991,Tournament<|>1998<|>1999<|>2001<|>2002<|>2003<|>2004<|>2005<|>2006<|>2007<|>2008<|>2009<|>2010<|>2011<|>2012<|>Career SR<|>Career Win-Loss,1998
Start Time,Week<|>Date<|>Time<|>Opponent<|>Result<|>Game site<|>NFL Recap<|>Record,Time
Last season,Season<|>Date<|>Winners<|>Score<|>Runners-up<|>Venue<|>Location,Season
prize money ( € ),Dates<|>Tournament<|>Prize fund ( ￥ )<|>Winner<|>OWGR pts,Prize fund ( ￥ )
Last season,Season<|>Overall Record<|>SEC Record<|>Overall Attendance<|>Average Attendance<|>Rank Nationally,Season
Year ended,Rank<|>Name<|>Height ft (m)<|>Floors<|>Year,Year
Height (m.),Rank<|>Name<|>Height ft (m)<|>Floors<|>Year,Height ft (m)
FA Cup goals,Name<|>Years<|>League a<|>FA Cup<|>League Cup b<|>Other<|>Total,FA Cup
Start Time,Elimination<|>Wrestler<|>Team<|>Eliminated by<|>Elimination move<|>Time,Time
Original Canadian air date,Series No.<|>Season No.<|>Title<|>Directed by<|>Written by<|>Original air date<|>U.K. viewers (million),Original air date
Year ended,Year<|>League<|>Reg. Season<|>Playoffs<|>Avg. attendance †,Year
Completed?,Year<|>League<|>Reg. Season<|>Playoffs<|>Avg. attendance †,Avg. attendance †
Max. speed,Type<|>Numbers<|>Year built<|>Quantity built<|>Power (horsepower)<|>Max Speed (km/h),Max Speed (km/h)
"Area (1930) in 1,000skm 2",Name<|>Locomotive type<|>Wheel arr.<|>Builder<|>Year built<|>Whistle<|>In Traffic?,In Traffic?
Year ended,Year<|>Car number<|>Start<|>Qual. speed<|>Speed rank<|>Finish<|>Laps completed<|>Laps led<|>Race status<|>Chassis,Year
Start Time,Year<|>Car number<|>Start<|>Qual. speed<|>Speed rank<|>Finish<|>Laps completed<|>Laps led<|>Race status<|>Chassis,Start
Date of Entry,Players<|>Sh/C<|>Height<|>Weight<|>Date of Birth<|>Club,Date of Birth
prize money ( € ),Place<|>Player<|>Country<|>Score<|>To par<|>Money ( S ),Money ( S )
Final score,Outcome<|>Year<|>Championship<|>Surface<|>Opponent in final<|>Score in final,Score in final
Year ended,Outcome<|>Year<|>Championship<|>Surface<|>Opponent in final<|>Score in final,Year
Opponent in the Final,Outcome<|>Year<|>Championship<|>Surface<|>Opponent in final<|>Score in final,Opponent in final
from,Rank<|>Year<|>Name<|>Moving from<|>Moving to,Moving from
Year ended,Rank<|>Year<|>Name<|>Moving from<|>Moving to,Year
Weeks in top 12,Finish<|>Driver<|>Races<|>Wins<|>Poles<|>Top 5<|>Top 10<|>Laps Led<|>Points<|>Earnings,Top 10
High school,School<|>Location<|>Mascot<|>County<|>Year Joined<|>Year Left<|>Conference Joined,School
High school,School<|>Location<|>Mascot<|>Size<|>IHSAA Class<|>County<|>Year Joined<|>Previous Conference,School
IHSAA Class  Football Class,School<|>Location<|>Mascot<|>Size<|>IHSAA Class<|>County<|>Year Joined<|>Previous Conference,IHSAA Class
Year ended,Year<|>RR class<|>RR Nos.<|>Builder<|>Builder Nos.<|>GWR/BR Nos.,Year
Year ended,Year<|>Office<|>Candidate<|>Popular Votes<|>Percentage,Year
Year ended,Year<|>Candidate<|>State(s) on the Ballot<|>Popular Votes<|>Percentage,Year
Avg. Start,"LastDays begin<|>Startof Christ's Presence<|>Christ madeKing<|>Resurrection of144,000<|>Judgmentof Religion<|>Separating Sheep &Goats<|>Great Tribulation",LastDays begin
Last season,Season<|>Round<|>Country<|>Opponent<|>Result,Season
Episode number Production number,Episode Number<|>Episode<|>Rating<|>Share<|>Rating/Share (18-49)<|>Viewers (millions)<|>Rank (Timeslot)<|>Rank (Overall),Episode Number
Season episode,Episode Number<|>Episode<|>Rating<|>Share<|>Rating/Share (18-49)<|>Viewers (millions)<|>Rank (Timeslot)<|>Rank (Overall),Episode
"Area (1930) in 1,000skm 2","Central Forest Reserve<|>Size in km²<|>Total plant species<|>Tree species<|>Endemic<|>Threatened (CR,VU,EN)",Size in km²
Original Canadian air date,Series #<|>Season #<|>Title<|>Directed by<|>Written by<|>Original air date,Original air date
Original Canadian air date,No. in Series<|>Title<|>Directed by<|>Written by<|>Original air date<|>U.S. viewers (millions),Original air date
Max altitude (miles),Vehicle Flight #<|>Date<|>Pilot<|>Mach<|>Velocity (km/h)<|>Altitude (ft)<|>Duration,Altitude (ft)
Change (SW Eng),Event<|>2006–07<|>2007–08<|>2008–09<|>2009–10<|>2010–11<|>2011–12<|>2012–13,2012–13
Season episode,Episode<|>Title<|>Date of emission<|>Audience<|>Share,Episode
Year ended,Year<|>Winner<|>Points<|>Playoff result<|>Win #,Year
Home city town,#<|>Stadium<|>Capacity<|>Opened<|>City / Town<|>Home team,City / Town
Original Canadian air date,No. in series<|>Title<|>Directed by<|>Written by<|>Original air date<|>U.S. viewers (million),Original air date
Season episode,Episode<|>Broadcast date<|>Guest(s)<|>Singer(s)<|>Ratings,Episode
Season episode,Episode<|>Broadcast date<|>Guest(s)<|>Singer(s)<|>Comedian<|>Ratings,Episode
Year ended,Year<|>Team<|>Make<|>Engine<|>Class<|>Rank<|>Points,Year
Year of Issue,Number One(s)<|>Artist(s)<|>Song(s) — Weeks<|>Issue Years<|>Whole Weeks,Issue Years
"2001 number (,000)",Number One(s)<|>Artist(s)<|>Song(s) — Weeks<|>Issue Years<|>Whole Weeks,Number One(s)
Singapore League Cup,Name<|>Years<|>League<|>Scottish Cup<|>League Cup<|>Europe<|>Total,League Cup
Last season,Season<|>League<|>Division<|>GP<|>W<|>L<|>T<|>OTL<|>SOL<|>PTS<|>PCT<|>GF<|>GA<|>PIM<|>Coach(es)<|>Result,Season
Year ended,Gauge<|>Railway<|>Class<|>Works no.<|>Year<|>Builder,Year
Year ended,Year<|>Sports<|>Competitors<|>Gold<|>Silver<|>Bronze<|>Total,Year
Start Time,Title<|>Author(s)<|>Recorded<|>Location(s)<|>Time,Time
(BH) max (kJ m 3 ),2005/ 06<|>2006/ 07<|>2007/ 08<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2009/ 10
July (°C),2005/ 06<|>2006/ 07<|>2007/ 08<|>2009/ 10<|>2010/ 11<|>2011/ 12<|>2012/ 13,2012/ 13
Year ended,Year<|>Starts<|>Wins (Majors)<|>2nd<|>3rd<|>Earnings ($)<|>Money list rank<|>Scoring average,Year
Change (SW Eng),Date<|>Opponents<|>H / A<|>Result F–A<|>Attendance<|>League position,Result F–A
Completed?,Season<|>Timeslot<|>Season Premiere<|>Season Finale<|>Episodes<|>TV Season<|>Ranking<|>Viewers (in millions),Viewers (in millions)
Last season,Season<|>Timeslot<|>Season Premiere<|>Season Finale<|>Episodes<|>TV Season<|>Ranking<|>Viewers (in millions),Season
Date of designation,Name<|>Position<|>Date of Appointment<|>Date of Birth<|>Date of Retirement,Date of Appointment
Date of destruction,Name<|>Position<|>Date of Appointment<|>Date of Birth<|>Date of Retirement,Date of Birth
Number of Districts (kecamatan),"Name<|>Number of sequences Number of sequences: .<|>Alignment Alignment: predicts an alignment , .<|>Structure Structure: predicts structure , .<|>Link",Number of sequences Number of sequences: .
Number of Districts (kecamatan),"Name<|>Number of sequences Number of sequences: .<|>Alignment Alignment: predicts an alignment , .<|>Structure Structure: predicts structure , .<|>Knots Knots: Pseudoknot prediction, .<|>Link",Number of sequences Number of sequences: .
Population (Bundaberg),Code<|>District<|>Headquarters<|>Population (2001 Census)<|>Population (2011 Census)<|>Area (km²)<|>Density in 2011 (/km²),Population (2001 Census)
"Area (1930) in 1,000skm 2",Code<|>District<|>Headquarters<|>Population (2001 Census)<|>Population (2011 Census)<|>Area (km²)<|>Density in 2011 (/km²),Area (km²)
Year ended,Year<|>Title<|>Role<|>Leading Lady<|>Director,Year
Last season,Season<|>Team Name<|>Games<|>Losses<|>Points,Season
Winning team,Rnd<|>Circuit<|>LMP1 Winning Team<|>LMP2 Winning Team<|>GT1 Winning Team<|>GT2 Winning Team<|>Results,GT2 Winning Team
year,Town/City<|>Population<|>Operator<|>First year<|>Duration,First year
Conduction speed (m s),Name<|>Park<|>Length (ft)<|>Height (ft)<|>Speed (mph)<|>Opened<|>Status,Speed (mph)
sequence length (aa),Name<|>Park<|>Length (ft)<|>Height (ft)<|>Speed (mph)<|>Opened<|>Status,Length (ft)
Height (m ft),Name<|>Park<|>Length (ft)<|>Height (ft)<|>Speed (mph)<|>Opened<|>Status,Height (ft)
Last season,Season<|>Oberliga Bayern<|>Oberliga Hessen<|>Oberliga Baden-Württemberg<|>Oberliga Südwest,Season
Population (2000 census),Name<|>Geographic code<|>Type<|>Households<|>Population (2004)<|>Foreign population<|>Moroccan population,Population (2004)
Start Time,Res.<|>Record<|>Opponent<|>Method<|>Event<|>Round<|>Time,Time
Original air date,No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original U.S. air date<|>Prod. code,Original U.S. air date
ZIP code Prefix(es),No. in series<|>No. in season<|>Title<|>Directed by<|>Written by<|>Original U.S. air date<|>Prod. code,Prod. code
Academy Award,Year<|>Event<|>Award<|>Nominee<|>Result,Award
Year ended,Year<|>Event<|>Award<|>Nominee<|>Result,Year
prize money ( € ),Season<|>Episodes<|>Series premiere<|>Series finale<|>Winning couple<|>Winning profit ( AUD )<|>Host(s)<|>Judges,Winning profit ( AUD )
Last season,Season<|>Episodes<|>Series premiere<|>Series finale<|>Winning couple<|>Winning profit ( AUD )<|>Host(s)<|>Judges,Season
Dist. ID,Name<|>COSPAR ID SATCAT №<|>Launch date (UTC)<|>Launch vehicle<|>Launch site<|>Launch designation<|>Longitude,COSPAR ID SATCAT №
Date (Opening),Name<|>COSPAR ID SATCAT №<|>Launch date (UTC)<|>Launch vehicle<|>Launch site<|>Launch designation<|>Longitude,Launch date (UTC)
Date of destruction,President<|>Date of birth<|>Date of inauguration<|>Age at inauguration<|>End of term<|>Length of retirement<|>Date of death<|>Lifespan,Date of death
Home city town,Club<|>Home city<|>Stadium<|>Founded<|>Joined PRSL,Home city
Home city town,Club<|>Home city<|>Stadium<|>Founded<|>Seasons in PRSL,Home city
Year ended,Title<|>Year<|>Developer<|>Publisher<|>Players per Console<|>Genre,Year
Age at inauguration,Name<|>Locale<|>State<|>Age at appointment<|>Term,Age at appointment
Last season,Season<|>Series<|>Team<|>Races<|>Wins,Season
High school,School<|>Record<|>Conference<|>Conf. record<|>Regular season finish<|>Regular season second place,School
High school,School<|>Record<|>Conference<|>Conf. record<|>Seed<|>Round eliminated<|>Lost to (Seed),School
"$50,000 to $60,000",School<|>Record<|>Conference<|>Conf. record<|>Seed<|>Round eliminated<|>Lost to (Seed),Lost to (Seed)
Percentage of global total,Ethnic Group<|>Main Regions<|>Population<|>Percentage of total population<|>Christians<|>Muslims<|>Other,Percentage of total population
Top 50 Ranking,Year<|>Starts<|>Cuts made<|>Wins<|>Top 10<|>Top 25<|>Earnings ($)<|>Money list rank,Top 25
Weeks in top 12,Year<|>Starts<|>Cuts made<|>Wins<|>Top 10<|>Top 25<|>Earnings ($)<|>Money list rank,Top 10
Year ended,Year<|>Starts<|>Cuts made<|>Wins<|>Top 10<|>Top 25<|>Earnings ($)<|>Money list rank,Year
Ten Year % change,Rank<|>Team<|>Country<|>Value ($M)<|>% change on year<|>Revenue ($M),% change on year
Ten Year % change,Rank<|>Team<|>Country<|>Value ($M)<|>Debt as % of value<|>% change on year<|>Revenue ($M)<|>Operating income ($m),% change on year
Ten Year % change,Team<|>Country<|>Value ($M)<|>Debt as %of value<|>% change on year<|>Revenue ($M)<|>Operating income($m),% change on year
Ten Year % change,Rank<|>Team<|>Country<|>Value ($M)<|>Debt as %of value<|>% change on year<|>Revenue ($M)<|>Operating income($m),% change on year
